"ORDERID","LOGINNAME","USERGROUP","FROMSITE","ORIGINALTOTALPRICE","ADJUSTTOTALPRICE","ORDERDATE","ORDERSTATUS","ORDERCOMMENT","SENTPRICE","SENTMETHOD","INVOICE_TITLE","DEPARTMENT","DESCRIPTION","DEALDATE","DEALSTATUS","REFERERURL","REFERERDOMAIN"
"TS76847261","lindasdjn","fltrp","www.ell.com.cn",12.00,12.00,2010-08-31 21:40:33,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS28415366","lindasdjn","fltrp","www.ell.com.cn",12.00,12.00,2010-08-31 21:45:47,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS55128457","l418974601","fltrp","www.ell.com.cn",6.00,6.00,2010-08-31 16:24:14,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS13084408","mabiao19821","fltrp","www.ell.com.cn",72.00,72.00,2010-09-01 13:30:39,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS83724282","yvonne_l","fltrp","www.ell.com.cn",144.00,144.00,2010-08-10 14:14:31,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS57733386","donghongtao","fltrp","www.ell.com.cn",6.00,6.00,2010-08-31 12:21:31,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS62510271","yueyue007","fltrp","www.ell.com.cn",12.00,12.00,2010-08-31 18:05:09,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS86062540","bomihuakai840328","fltrp","www.ell.com.cn",72.00,72.00,2010-09-02 21:04:34,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","http://www.baidu.com/s?wd=ell&tn=ylmf_4_pg&ch=4","www.baidu.com"
"TS68631810","OneTime","fltrp","www.ell.com.cn",6.00,6.00,2010-08-30 12:46:26,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS60133747","uptowngirl","fltrp","www.ell.com.cn",97.00,97.00,2010-08-19 09:30:36,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS37500020","paulaxiu","fltrp","www.ell.com.cn",216.00,216.00,2010-08-07 10:49:31,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS31632561","delia20062006","fltrp","www.ell.com.cn",37.00,37.00,2010-08-11 13:50:32,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS66022118","delia20062006","fltrp","www.ell.com.cn",37.00,37.00,2010-08-11 13:53:25,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS75516540","wangyunling1982","fltrp","www.ell.com.cn",234.00,234.00,2010-08-20 15:05:54,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS36861178","paulaxiu","fltrp","www.ell.com.cn",216.00,216.00,2010-08-07 09:29:07,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS18781377","shamolvzhou","fltrp","www.ell.com.cn",134.00,134.00,2010-08-14 17:02:22,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS60252757","wangyunling1982","fltrp","www.ell.com.cn",72.00,72.00,2010-08-20 15:27:22,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS53364167","wangyunling1982","fltrp","www.ell.com.cn",72.00,72.00,2010-08-20 15:27:42,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS08466285","wangyunling1982","fltrp","www.ell.com.cn",72.00,72.00,2010-08-20 15:28:41,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS61714036","person_521","fltrp","www.ell.com.cn",6.00,6.00,2010-08-23 22:46:49,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS05083101","qwb6371","fltrp","www.ell.com.cn",6.00,6.00,2010-08-23 21:04:56,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS45143348","yc178482998","fltrp","www.ell.com.cn",12.00,12.00,2010-08-24 20:35:01,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS54764077","shelleyorange","fltrp","www.ell.com.cn",12.00,12.00,2010-08-27 09:20:06,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
"TS60770245","dannt13","fltrp","www.ell.com.cn",72.00,72.00,2010-08-28 22:07:20,"1","",.00,"","","00010012","英语学习期刊、图书费",,"","",""
"TS38310681","lianhaolan","fltrp","www.ell.com.cn",6.00,6.00,2010-08-28 19:39:50,"1","",.00,"","","00010012","英语学习期刊、图书费",,"已发货","",""
