"DETAILSID","ORDERID","BSNO","QUANTITY"
53601,"TS18558252",49566,1
33881,"TS28415366",7651,1
33882,"TS28415366",7629,1
33821,"TS55128457",7650,1
34101,"TS50481613",7618,1
34102,"TS50481613",7651,1
34103,"TS50481613",7656,1
34104,"TS50481613",49566,1
34721,"TS04583152",7656,1
34722,"TS04583152",7658,1
35921,"TS25477835",7646,1
36681,"TS21272046",49566,1
35922,"TS25477835",7642,1
35761,"TS63566613",7656,1
37262,"TS45367111",7656,1
36521,"TS13428288",7646,1
36522,"TS13428288",7645,1
36721,"TS45228740",49566,1
37261,"TS45367111",49566,1
37401,"TS63476374",7644,1
37483,"TS20766768",49566,1
37501,"TS70628444",49566,1
37681,"TS31227805",7646,1
39481,"TS05741665",49566,1
38701,"TS00861253",7656,1
39041,"TS42001532",7644,1
39101,"TS80870548",7644,1
39441,"TS54514525",7642,1
40601,"TS22122620",46836,1
40721,"TS80453076",7642,1
40722,"TS80453076",7644,1
40723,"TS80453076",7646,1
40901,"TS76128650",49566,1
40902,"TS76128650",48549,1
40903,"TS76128650",47597,1
42161,"TS35142323",49566,1
41721,"TS33068207",49566,1
50121,"TS46662364",7644,1
43241,"TS07644084",49566,1
43621,"TS55722417",49566,1
43622,"TS55722417",7669,1
44161,"TS30216540",7670,1
44221,"TS34084601",49566,1
44481,"TS77364235",7642,1
44521,"TS45104626",7667,1
44522,"TS45104626",7670,1
44523,"TS45104626",7669,1
45341,"TS75350785",7670,1
44701,"TS31113545",7642,1
45361,"TS74761582",7656,1
45362,"TS74761582",7662,1
45363,"TS74761582",7651,1
45364,"TS74761582",7667,1
45365,"TS74761582",7618,1
45441,"TS43006362",7642,1
45481,"TS33778355",7669,1
45482,"TS33778355",7670,1
45681,"TS72578887",7644,1
46321,"TS51310470",49566,1
46421,"TS85027343",7644,1
48961,"TS35554426",7644,14
49621,"TS41783236",7644,1
48501,"TS44173572",7673,1
49701,"TS22762624",7642,1
50161,"TS26381122",7644,1
49702,"TS22762624",7644,1
49703,"TS22762624",7646,1
50795,"TS31021384",7651,1
50501,"TS81684213",7644,1
50796,"TS31021384",7638,1
50502,"TS81684213",7642,1
50797,"TS31021384",7642,1
50661,"TS80124231",7642,1
50798,"TS31021384",7613,1
51021,"TS80186874",7644,1
51022,"TS80186874",7670,1
50793,"TS31021384",7662,1
50794,"TS31021384",7656,1
51141,"TS48137020",49566,1
51261,"TS31086784",7642,1
51501,"TS52501316",7642,1
52202,"TS66410321",7642,1
51841,"TS37213008",49566,1
54121,"TS07420654",7642,1
54341,"TS51182050",7641,1
55421,"TS47231145",7629,1
33841,"TS62510271",7652,1
33141,"TS83724282",7646,1
33781,"TS57733386",7651,1
34061,"TS67147001",7656,1
34802,"TS55758343",7657,1
34461,"TS44721145",7651,1
36162,"TS50478146",7642,1
34881,"TS82021336",7658,1
36121,"TS41383433",7657,1
54823,"TS81536424",7642,2
36161,"TS50478146",7644,1
54824,"TS18885250",7642,1
54825,"TS24014226",7644,2
36561,"TS52466283",7656,1
36562,"TS52466283",7658,1
36563,"TS52466283",7657,1
39761,"TS14755422",49566,1
36641,"TS02237440",49566,1
36941,"TS77067783",7641,1
38281,"TS07743841",7642,1
38601,"TS67626434",49566,1
39281,"TS80816851",7656,1
39762,"TS14755422",47597,1
39763,"TS14755422",48549,1
39981,"TS86875351",7641,1
40421,"TS51373083",7662,1
40422,"TS51373083",7656,1
40461,"TS85240181",7646,1
40661,"TS06703103",7662,1
40861,"TS83350545",7642,1
41161,"TS67310018",7642,1
41761,"TS75677562",49566,1
41861,"TS87153515",7642,1
42521,"TS31275512",7667,1
42741,"TS04777766",7642,1
45841,"TS74304264",7644,1
43321,"TS87772623",7667,1
44901,"TS64088303",7646,1
46461,"TS27276605",7644,1
46901,"TS32047675",49566,1
47401,"TS82058130",7642,1
47381,"TS54354651",7646,1
47382,"TS54354651",7641,1
48281,"TS72804645",48549,1
48621,"TS05026284",49566,1
48721,"TS75143284",7642,1
49541,"TS56052443",7644,1
49421,"TS77100203",7642,1
49581,"TS82004171",7646,1
50361,"TS51765654",7642,1
50362,"TS51765654",7646,1
51741,"TS30448031",7644,1
52261,"TS08023788",7642,1
51441,"TS84340138",7642,1
52262,"TS08023788",7644,1
53521,"TS77341654",7682,1
53861,"TS68261633",7644,1
54041,"TS46883343",7646,1
54261,"TS35444013",49566,1
54821,"TS81536424",7646,1
54822,"TS81536424",7644,1
54826,"TS24014226",7646,1
54827,"TS08720381",7644,1
54901,"TS18024145",7642,1
55041,"TS32377200",7682,1
54902,"TS18024145",49566,1
