"PAY_ID","ORDERID","V_OID","V_PSTATUS","V_PSTRING","V_PMODE","V_AMOUNT","V_PDATE","PAY_MODE","COMMENTS"
34222,"TS48078750","20100914-3063-13798538","1","支付完成","招商银行SZ","72",2010-09-14 23:34:19,"ONLINE_PAY",""
35001,"TS45243751","20100923-3063-66079730","1","支付完成","工商银行YZ","12",2010-09-23 09:35:07,"ONLINE_PAY",""
35121,"TS04566136","20100925-3063-88194465","1","支付完成","工商银行YZ","288",2010-09-25 16:23:42,"ONLINE_PAY",""
35302,"TS51306683","20100927-3063-92364638","20","支付完成","建设银行PH","25",2010-09-27 20:36:43,"ONLINE_PAY",""
35321,"TS71157206","20100928-3063-82915069","1","支付完成","工商银行YZ","72",2010-09-28 08:10:44,"ONLINE_PAY",""
33181,"TS15128124","20100907-3063-21217487","1","支付完成","建设银行PH","25",2010-09-07 09:15:09,"ONLINE_PAY",""
33683,"TS55758343","20100910-3063-65133191","1","支付完成","工商银行YZ","12",2010-09-10 13:50:32,"ONLINE_PAY",""
33842,"TS17523085","20100911-3063-04680243","1","支付完成","招商银行SZ","72",2010-09-11 12:31:07,"ONLINE_PAY",""
34841,"TS51372802","20100920-3063-34225459","1","支付完成","建设银行PH","25",2010-09-20 12:43:29,"ONLINE_PAY",""
35262,"TS21272046","20100926-3063-28074768","1","支付完成","工商银行YZ","25",2010-09-26 22:33:27,"ONLINE_PAY",""
36081,"TS81786875","20101001-3063-34082530","1","支付完成","中国银行","25",2010-10-01 22:46:58,"ONLINE_PAY",""
35961,"TS45367111","20100930-3063-35825689","1","支付完成","深圳发展银行","31",2010-09-30 21:19:19,"ONLINE_PAY",""
36061,"TS46767030","20101001-3063-84172697","1","支付完成","建设银行PH","12",2010-10-01 22:22:29,"ONLINE_PAY",""
36062,"TS63476374","20101001-3063-10714634","1","支付完成","中国银行","72",2010-10-01 22:22:00,"ONLINE_PAY",""
36161,"TS25585711","20101003-3063-34846151","1","支付完成","建设银行PH","72",2010-10-03 10:34:22,"ONLINE_PAY",""
36181,"TS57718033","20101003-3063-34277317","1","支付完成","建设银行PH","25",2010-10-03 10:46:03,"ONLINE_PAY",""
36262,"TS31227805","20101003-3063-05516842","1","支付完成","招商银行SZ","144",2010-10-04 00:00:43,"ONLINE_PAY",""
36381,"TS72540874","20101005-3063-22011649","1","支付完成","民生银行卡","12",2010-10-05 11:08:00,"ONLINE_PAY",""
36461,"TS32203155","20101006-3063-50524969","1","支付完成","工商银行YZ","12",2010-10-06 13:45:58,"ONLINE_PAY",""
36781,"TS25237502","20101008-3063-66026086","1","支付完成","招商银行SZ","75",2010-10-08 20:23:30,"ONLINE_PAY",""
36821,"TS85208687","20101008-3063-68806123","1","支付完成","建设银行PH","72",2010-10-08 21:04:07,"ONLINE_PAY",""
32361,"TS18781377","20100818-3063-00639304","1","支付完成","工商银行YZ","134",,"ONLINE_PAY",""
32561,"TS05083101","20100823-3063-66332508","1","支付完成","工商银行YZ","6",,"ONLINE_PAY",""
32583,"TS61714036","20100823-3063-47438991","1","支付完成","中国银行","6",,"ONLINE_PAY",""
32683,"TS38310681","20100828-3063-63400963","1","支付完成","工商银行YZ","6",2010-08-28 19:44:39,"ONLINE_PAY",""
32781,"TS68631810","20100830-3063-90813580","1","支付完成","中国银行","6",2010-08-30 13:26:19,"ONLINE_PAY",""
33281,"TS55416025","20100907-3063-78896918","1","支付完成","建设银行PH","12",2010-09-07 12:14:47,"ONLINE_PAY",""
33303,"TS15343022","20100907-3063-00768945","1","支付完成","招商银行SZ","25",2010-09-07 14:55:32,"ONLINE_PAY",""
34001,"TS58453627","20100913-3063-77683594","1","支付完成","工商银行YZ","50",2010-09-13 19:46:28,"ONLINE_PAY",""
35201,"TS52466283","20100926-3063-91784078","1","支付完成","工商银行YZ","24",2010-09-26 16:10:23,"ONLINE_PAY",""
34883,"TS41383433","20100920-3063-51500304","1","支付完成","中信银行","12",2010-09-20 22:11:02,"ONLINE_PAY",""
35161,"TS13428288","20100926-3063-55069571","1","支付完成","工商银行YZ","288",2010-09-26 08:44:36,"ONLINE_PAY",""
36641,"TS70432570","20101008-3063-23824526","1","支付完成","农业银行金穗卡","122",,"ONLINE_PAY",""
32621,"TS45143348","20100824-3063-00180179","1","支付完成","建设银行PH","12",2010-08-24 20:37:17,"ONLINE_PAY",""
32821,"TS57733386","20100831-3063-50388745","1","支付完成","招商银行SZ","6",2010-08-31 12:22:55,"ONLINE_PAY",""
34281,"TS80010680","20100915-3063-58225873","1","支付完成","农业银行金穗卡","72",2010-09-15 12:22:06,"ONLINE_PAY",""
34141,"TS25170888","20100914-3063-30127049","1","支付完成","农业银行金穗卡","50",2010-09-14 12:13:10,"ONLINE_PAY",""
34282,"TS32658338","20100915-3063-62361954","1","支付完成","农业银行金穗卡","25",2010-09-15 12:23:34,"ONLINE_PAY",""
35501,"TS48383086","20100928-3063-17532614","1","支付完成","建设银行PH","25",,"ONLINE_PAY",""
36401,"TS62044303","20101005-3063-85707692","1","支付完成","工商银行YZ","72",2010-10-05 22:17:38,"ONLINE_PAY",""
32901,"TS28415366","20100831-3063-54936604","1","支付完成","工商银行YZ","12",,"ONLINE_PAY",""
32941,"TS78375370","20100902-3063-80888716","1","支付完成","招商银行SZ","72",2010-09-02 21:43:11,"ONLINE_PAY",""
33041,"TS50481613","20100904-3063-74925723","20","支付完成","工商银行YZ","43",2010-09-04 23:52:20,"ONLINE_PAY",""
32301,"TS83724282","20100816-3063-62901312","1","支付完成","招商银行SZ","144",2010-08-16 20:17:32,"ONLINE_PAY",""
